Poseidon,241.875 241.875 241.875,171.3143 213.75 212.0354,225 192.8702 152.2059
Enemy,243.75 222.2427 222.2427,122 122 122,200.625 126.8658 126.8658
Mint,147.2236 183.75 117.546,255 255 255,204.9848 241.875 176.0708
Imperial Superman,170.625 47.67464 47.67464,240 187.9108 51.17648,145.1746 190.7233 243.75
Imperial Basic,170.625 47.67464 47.67464,240 187.9108 51.17648,255 255 255
Pastel A,255 223.5469 140.625,183.272 213.75 171.3143,210 176.7749 89.55882
Frozen,202 232 229,132.5184 195.9633 202.5,120.9375 172.2893 191.25
Aqua,172.2656 223.125 220.2188,228 211 175,215.625 173.9239 85.61581
Vanilla,244 238 203,146.2638 178.6318 193.125,210.1103 228.9565 238.125
Forested,174 187 97,116.7739 144.375 129.1662,139.1636 183.75 160.3952
Leafy,57 99 83,161 171 139,201 201 146
Noble,72.1875 141.4875 144.375,212 208 179,224.5159 234.375 224.0349
Peanut,200.625 140.2427 100.3125,245.625 239.0175 200.4734,176.25 159.4026 170.1237
Uncertain,72.38052 114.7848 140.625,153 194 193,230 231 232
Oasis,241 223 184,230 188 128,175 222 220
Royalty,121.5993 159.9609 196.875,255 235.5447 181.875,203 226 228
Roman,185.625 70.97427 70.97427,193.125 109.4016 75.26196,255 204.9451 60
Roman II,255 233 203,159.375 116.173 98.4375,171.5901 215.9467 238.125
Roman III,122 62 43,189 130 10,196 182 138
